[rosmaster.main][INFO] 2025-10-09 16:17:53,946: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-09 16:17:53,946: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-09 16:17:53,952: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-10-09 16:17:53,953: Started XML-RPC server [http://172.22.52.56:11311/]
[xmlrpc][INFO] 2025-10-09 16:17:53,953: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-09 16:17:53,953: Master initialized: port[11311], uri[http://172.22.52.56:11311/]
[rosmaster.master][INFO] 2025-10-09 16:17:54,029: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:17:54,030: +PARAM [/roslaunch/uris/host_172_22_52_56__42409] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:17:54,074: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:17:54,074: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:17:54,113: +SERVICE [/rosout/get_loggers] /rosout http://172.22.52.56:35155/
[rosmaster.master][INFO] 2025-10-09 16:17:54,114: +SERVICE [/rosout/set_logger_level] /rosout http://172.22.52.56:35155/
[rosmaster.master][INFO] 2025-10-09 16:17:54,115: +PUB [/rosout_agg] /rosout http://172.22.52.56:35155/
[rosmaster.master][INFO] 2025-10-09 16:17:54,118: +SUB [/rosout] /rosout http://172.22.52.56:35155/
[rosmaster.master][INFO] 2025-10-09 16:18:40,666: +PARAM [/roslaunch/uris/host_172_22_52_56__40171] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,671: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,672: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,672: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,672: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,672: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,672: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,672: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,672: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,672: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:40,672: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-10-09 16:18:41,294: +PUB [/rosout] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,300: +SERVICE [/rosapi/get_loggers] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,301: +SERVICE [/rosapi/set_logger_level] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,305: +SERVICE [/rosapi/topics] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,306: +SERVICE [/rosapi/topics_for_type] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,307: +SERVICE [/rosapi/services] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,308: +SERVICE [/rosapi/services_for_type] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,309: +SERVICE [/rosapi/nodes] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,310: +SERVICE [/rosapi/node_details] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,311: +SERVICE [/rosapi/action_servers] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,312: +SERVICE [/rosapi/topic_type] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,313: +SERVICE [/rosapi/service_type] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,314: +SERVICE [/rosapi/publishers] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,315: +SERVICE [/rosapi/subscribers] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,316: +SERVICE [/rosapi/service_providers] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,317: +SERVICE [/rosapi/service_node] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,318: +SERVICE [/rosapi/service_host] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,319: +SERVICE [/rosapi/message_details] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,320: +SERVICE [/rosapi/service_request_details] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,321: +SERVICE [/rosapi/service_response_details] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,322: +SERVICE [/rosapi/set_param] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,323: +SERVICE [/rosapi/get_param] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,324: +SERVICE [/rosapi/has_param] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,325: +SERVICE [/rosapi/search_param] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,325: +SERVICE [/rosapi/delete_param] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,326: +SERVICE [/rosapi/get_param_names] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,327: +SERVICE [/rosapi/get_time] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,328: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://172.22.52.56:37887/
[rosmaster.master][INFO] 2025-10-09 16:18:41,329: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-10-09 16:18:41,377: publisherUpdate[/rosout] -> http://172.22.52.56:35155/ ['http://172.22.52.56:37887/']
[rosmaster.master][INFO] 2025-10-09 16:18:41,381: publisherUpdate[/rosout] -> http://172.22.52.56:35155/ ['http://172.22.52.56:37887/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-09 16:18:41,586: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-10-09 16:18:41,620: +PUB [/rosout] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:18:41,624: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:18:41,625: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:18:41,638: +PUB [/client_count] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:18:41,639: +PUB [/connected_clients] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:18:41,642: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:18:41,645: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:18:41,679: publisherUpdate[/rosout] -> http://172.22.52.56:35155/ ['http://172.22.52.56:37887/', 'http://172.22.52.56:34525/']
[rosmaster.master][INFO] 2025-10-09 16:18:41,682: publisherUpdate[/rosout] -> http://172.22.52.56:35155/ ['http://172.22.52.56:37887/', 'http://172.22.52.56:34525/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-09 16:19:00,358: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:19:00,361: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:19:00,364: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:19:00,366: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:19:00,369: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:19:00,371: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:19:00,375: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:19:01,364: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:19:01,739: +PUB [/clock] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:19:01,795: +PUB [/tf] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:19:01,852: +PUB [/Ego_topic] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:19:01,896: +PUB [/Competition_topic] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:19:01,915: +PUB [/CollisionData] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:19:01,924: +PUB [/Object_topic] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:19:02,355: +SUB [/ctrl_cmd] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:19:02,357: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:19:02,372: +SERVICE [/Service_MoraiEventCmd] /rosbridge_websocket http://172.22.52.56:34525/
[rosmaster.master][INFO] 2025-10-09 16:19:02,373: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-10-09 16:21:13,824: +PUB [/rosout] /rostopic_394_1759994473749 http://172.22.52.56:37881/
[rosmaster.master][INFO] 2025-10-09 16:21:13,830: +SERVICE [/rostopic_394_1759994473749/get_loggers] /rostopic_394_1759994473749 http://172.22.52.56:37881/
[rosmaster.master][INFO] 2025-10-09 16:21:13,833: +SERVICE [/rostopic_394_1759994473749/set_logger_level] /rostopic_394_1759994473749 http://172.22.52.56:37881/
[rosmaster.master][INFO] 2025-10-09 16:21:13,862: publisherUpdate[/rosout] -> http://172.22.52.56:35155/ ['http://172.22.52.56:37887/', 'http://172.22.52.56:34525/', 'http://172.22.52.56:37881/']
[rosmaster.master][INFO] 2025-10-09 16:21:13,864: publisherUpdate[/rosout] -> http://172.22.52.56:35155/ ['http://172.22.52.56:37887/', 'http://172.22.52.56:34525/', 'http://172.22.52.56:37881/']: sec=0.00, result=[1, '', 0]
