[rosmaster.main][INFO] 2025-09-18 13:29:44,755: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-18 13:29:44,755: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-18 13:29:44,757: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-18 13:29:44,757: Started XML-RPC server [http://Na:11311/]
[xmlrpc][INFO] 2025-09-18 13:29:44,758: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-18 13:29:44,758: Master initialized: port[11311], uri[http://Na:11311/]
[rosmaster.master][INFO] 2025-09-18 13:29:44,853: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,854: +PARAM [/roslaunch/uris/host_na__40457] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,895: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:29:44,896: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
