[rosmaster.main][INFO] 2025-09-15 15:27:52,571: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-15 15:27:52,571: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-15 15:27:52,574: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-15 15:27:52,574: Started XML-RPC server [http://Na:11311/]
[xmlrpc][INFO] 2025-09-15 15:27:52,574: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-15 15:27:52,575: Master initialized: port[11311], uri[http://Na:11311/]
[rosmaster.master][INFO] 2025-09-15 15:27:52,669: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,671: +PARAM [/roslaunch/uris/host_na__41533] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,713: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,713: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,713: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,713: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,713: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,713: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,713: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,714: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,715: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,715: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,715: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-15 15:27:52,762: +SERVICE [/rosout/get_loggers] /rosout http://Na:43033/
[rosmaster.master][INFO] 2025-09-15 15:27:52,763: +SERVICE [/rosout/set_logger_level] /rosout http://Na:43033/
[rosmaster.master][INFO] 2025-09-15 15:27:52,765: +PUB [/rosout_agg] /rosout http://Na:43033/
[rosmaster.master][INFO] 2025-09-15 15:27:52,770: +SUB [/rosout] /rosout http://Na:43033/
[rosmaster.master][INFO] 2025-09-15 15:27:53,231: +PUB [/rosout] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,235: +SERVICE [/rosapi/get_loggers] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,236: +SERVICE [/rosapi/set_logger_level] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,239: +SERVICE [/rosapi/topics] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,240: +SERVICE [/rosapi/topics_for_type] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,241: +SERVICE [/rosapi/services] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,242: +SERVICE [/rosapi/services_for_type] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,244: +SERVICE [/rosapi/nodes] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,245: +SERVICE [/rosapi/node_details] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,246: +SERVICE [/rosapi/action_servers] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,247: +SERVICE [/rosapi/topic_type] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,248: +SERVICE [/rosapi/service_type] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,249: +SERVICE [/rosapi/publishers] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,250: +SERVICE [/rosapi/subscribers] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,251: +SERVICE [/rosapi/service_providers] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,251: +SERVICE [/rosapi/service_node] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,252: +SERVICE [/rosapi/service_host] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,253: +SERVICE [/rosapi/message_details] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,254: +SERVICE [/rosapi/service_request_details] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,255: +SERVICE [/rosapi/service_response_details] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,256: +SERVICE [/rosapi/set_param] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,257: +SERVICE [/rosapi/get_param] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,258: +SERVICE [/rosapi/has_param] /rosapi http://Na:34117/
[rosmaster.master][INFO] 2025-09-15 15:27:53,259: +SERVICE [/rosapi/search_param] /rosapi http://Na:34117/
