[rosmaster.main][INFO] 2025-09-20 13:06:18,853: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-20 13:06:18,853: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-20 13:06:18,855: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-20 13:06:18,855: Started XML-RPC server [http://172.22.52.56:11311/]
[xmlrpc][INFO] 2025-09-20 13:06:18,856: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-20 13:06:18,856: Master initialized: port[11311], uri[http://172.22.52.56:11311/]
[rosmaster.master][INFO] 2025-09-20 13:06:18,924: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:18,925: +PARAM [/roslaunch/uris/host_172_22_52_56__45043] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:18,969: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:18,969: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:18,984: +SERVICE [/rosout/get_loggers] /rosout http://172.22.52.56:44293/
[rosmaster.master][INFO] 2025-09-20 13:06:18,985: +SERVICE [/rosout/set_logger_level] /rosout http://172.22.52.56:44293/
[rosmaster.master][INFO] 2025-09-20 13:06:18,987: +PUB [/rosout_agg] /rosout http://172.22.52.56:44293/
[rosmaster.master][INFO] 2025-09-20 13:06:18,989: +SUB [/rosout] /rosout http://172.22.52.56:44293/
[rosmaster.master][INFO] 2025-09-20 13:06:38,650: +PARAM [/roslaunch/uris/host_172_22_52_56__46003] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,655: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,655: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,655: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,655: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,655: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:38,656: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:06:39,099: +PUB [/rosout] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,102: +SERVICE [/rosapi/get_loggers] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,103: +SERVICE [/rosapi/set_logger_level] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,107: +SERVICE [/rosapi/topics] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,107: publisherUpdate[/rosout] -> http://172.22.52.56:44293/ ['http://172.22.52.56:43967/']
[rosmaster.master][INFO] 2025-09-20 13:06:39,109: +SERVICE [/rosapi/topics_for_type] /rosapi http://172.22.52.56:43967/
