[rosmaster.main][INFO] 2025-09-20 12:59:35,616: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-20 12:59:35,616: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-20 12:59:35,618: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-20 12:59:35,618: Started XML-RPC server [http://172.22.52.56:11311/]
[xmlrpc][INFO] 2025-09-20 12:59:35,618: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-20 12:59:35,619: Master initialized: port[11311], uri[http://172.22.52.56:11311/]
[rosmaster.master][INFO] 2025-09-20 12:59:35,718: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 12:59:35,719: +PARAM [/roslaunch/uris/host_172_22_52_56__35007] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 12:59:35,761: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 12:59:35,761: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 12:59:35,807: +SERVICE [/rosout/get_loggers] /rosout http://172.22.52.56:34693/
[rosmaster.master][INFO] 2025-09-20 12:59:35,808: +SERVICE [/rosout/set_logger_level] /rosout http://172.22.52.56:34693/
[rosmaster.master][INFO] 2025-09-20 12:59:35,809: +PUB [/rosout_agg] /rosout http://172.22.52.56:34693/
[rosmaster.master][INFO] 2025-09-20 12:59:35,812: +SUB [/rosout] /rosout http://172.22.52.56:34693/
[rosmaster.master][INFO] 2025-09-20 13:04:01,803: +PARAM [/roslaunch/uris/host_172_22_52_56__34371] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,807: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,808: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,808: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,808: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,808: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,808: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,808: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,808: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,808: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:01,808: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-20 13:04:02,455: +PUB [/rosout] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,460: +SERVICE [/rosapi/get_loggers] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,461: +SERVICE [/rosapi/set_logger_level] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,465: +SERVICE [/rosapi/topics] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,466: +SERVICE [/rosapi/topics_for_type] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,467: +SERVICE [/rosapi/services] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,468: +SERVICE [/rosapi/services_for_type] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,469: +SERVICE [/rosapi/nodes] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,470: +SERVICE [/rosapi/node_details] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,471: +SERVICE [/rosapi/action_servers] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,473: +SERVICE [/rosapi/topic_type] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,474: +SERVICE [/rosapi/service_type] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,475: +SERVICE [/rosapi/publishers] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,476: +SERVICE [/rosapi/subscribers] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,477: +SERVICE [/rosapi/service_providers] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,478: +SERVICE [/rosapi/service_node] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,479: +SERVICE [/rosapi/service_host] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,480: +SERVICE [/rosapi/message_details] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,481: +SERVICE [/rosapi/service_request_details] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,482: +SERVICE [/rosapi/service_response_details] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,484: +SERVICE [/rosapi/set_param] /rosapi http://172.22.52.56:43479/
[rosmaster.master][INFO] 2025-09-20 13:04:02,485: +SERVICE [/rosapi/get_param] /rosapi http://172.22.52.56:43479/
