[rosmaster.main][INFO] 2025-08-23 13:34:07,896: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-23 13:34:07,896: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-23 13:34:07,899: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-23 13:34:07,899: Started XML-RPC server [http://Na:11311/]
[xmlrpc][INFO] 2025-08-23 13:34:07,899: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-23 13:34:07,900: Master initialized: port[11311], uri[http://Na:11311/]
[rosmaster.master][INFO] 2025-08-23 13:34:07,919: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-23 13:34:07,922: +PARAM [/roslaunch/uris/host_na__37481] by /roslaunch
[rosmaster.master][INFO] 2025-08-23 13:34:07,955: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-23 13:34:07,956: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-23 13:34:07,968: +SERVICE [/rosout/get_loggers] /rosout http://Na:37845/
[rosmaster.master][INFO] 2025-08-23 13:34:07,969: +SERVICE [/rosout/set_logger_level] /rosout http://Na:37845/
[rosmaster.master][INFO] 2025-08-23 13:34:07,971: +PUB [/rosout_agg] /rosout http://Na:37845/
[rosmaster.master][INFO] 2025-08-23 13:34:07,974: +SUB [/rosout] /rosout http://Na:37845/
[rosmaster.master][INFO] 2025-08-23 13:34:41,127: -PUB [/rosout_agg] /rosout http://Na:37845/
[rosmaster.master][INFO] 2025-08-23 13:34:41,128: -SUB [/rosout] /rosout http://Na:37845/
[rosmaster.master][INFO] 2025-08-23 13:34:41,129: -SERVICE [/rosout/get_loggers] /rosout rosrpc://Na:49155
[rosmaster.master][INFO] 2025-08-23 13:34:41,129: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://Na:49155
[rosmaster.main][INFO] 2025-08-23 13:34:41,188: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-08-23 13:34:41,188: stopping master...
[rospy.core][INFO] 2025-08-23 13:34:41,188: signal_shutdown [atexit]
