[rosmaster.main][INFO] 2025-10-29 21:18:43,394: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-29 21:18:43,395: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-29 21:18:43,396: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-10-29 21:18:43,398: Started XML-RPC server [http://172.22.52.56:11311/]
[xmlrpc][INFO] 2025-10-29 21:18:43,398: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-29 21:18:43,398: Master initialized: port[11311], uri[http://172.22.52.56:11311/]
[rosmaster.master][INFO] 2025-10-29 21:18:43,421: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,422: +PARAM [/roslaunch/uris/host_172_22_52_56__35405] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,478: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,478: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,478: +PARAM [/darknet_ros/subscribers/camera_reading/topic] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,479: +PARAM [/darknet_ros/subscribers/camera_reading/queue_size] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,479: +PARAM [/darknet_ros/actions/camera_reading/name] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,479: +PARAM [/darknet_ros/publishers/object_detector/topic] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,479: +PARAM [/darknet_ros/publishers/object_detector/queue_size] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,479: +PARAM [/darknet_ros/publishers/object_detector/latch] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,479: +PARAM [/darknet_ros/publishers/bounding_boxes/topic] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,479: +PARAM [/darknet_ros/publishers/bounding_boxes/queue_size] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,479: +PARAM [/darknet_ros/publishers/bounding_boxes/latch] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,480: +PARAM [/darknet_ros/publishers/detection_image/topic] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,480: +PARAM [/darknet_ros/publishers/detection_image/queue_size] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,480: +PARAM [/darknet_ros/publishers/detection_image/latch] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,480: +PARAM [/darknet_ros/image_view/enable_opencv] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,480: +PARAM [/darknet_ros/image_view/wait_key_delay] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,480: +PARAM [/darknet_ros/image_view/enable_console_output] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,480: +PARAM [/darknet_ros/yolo_model/config_file/name] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,480: +PARAM [/darknet_ros/yolo_model/weight_file/name] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,480: +PARAM [/darknet_ros/yolo_model/threshold/value] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,481: +PARAM [/darknet_ros/yolo_model/detection_classes/names] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,481: +PARAM [/darknet_ros/weights_path] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,481: +PARAM [/darknet_ros/config_path] by /roslaunch
[rosmaster.master][INFO] 2025-10-29 21:18:43,506: +SERVICE [/rosout/get_loggers] /rosout http://172.22.52.56:37473/
[rosmaster.master][INFO] 2025-10-29 21:18:43,507: +SERVICE [/rosout/set_logger_level] /rosout http://172.22.52.56:37473/
[rosmaster.master][INFO] 2025-10-29 21:18:43,508: +PUB [/rosout_agg] /rosout http://172.22.52.56:37473/
[rosmaster.master][INFO] 2025-10-29 21:18:43,511: +SUB [/rosout] /rosout http://172.22.52.56:37473/
[rosmaster.master][INFO] 2025-10-29 21:18:43,833: +PUB [/rosout] /darknet_ros http://172.22.52.56:42189/
[rosmaster.master][INFO] 2025-10-29 21:18:43,834: +SERVICE [/darknet_ros/get_loggers] /darknet_ros http://172.22.52.56:42189/
[rosmaster.master][INFO] 2025-10-29 21:18:43,835: +SERVICE [/darknet_ros/set_logger_level] /darknet_ros http://172.22.52.56:42189/
