[rosmaster.main][INFO] 2025-09-12 14:58:04,467: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-12 14:58:04,467: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-12 14:58:04,469: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-12 14:58:04,470: Started XML-RPC server [http://Na:11311/]
[xmlrpc][INFO] 2025-09-12 14:58:04,470: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-12 14:58:04,470: Master initialized: port[11311], uri[http://Na:11311/]
[rosmaster.master][INFO] 2025-09-12 14:58:04,577: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,579: +PARAM [/roslaunch/uris/host_na__34731] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,629: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,629: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,629: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,629: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,629: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,630: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,631: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,631: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,631: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,631: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,631: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-12 14:58:04,672: +SERVICE [/rosout/get_loggers] /rosout http://Na:41133/
[rosmaster.master][INFO] 2025-09-12 14:58:04,673: +SERVICE [/rosout/set_logger_level] /rosout http://Na:41133/
[rosmaster.master][INFO] 2025-09-12 14:58:04,675: +PUB [/rosout_agg] /rosout http://Na:41133/
[rosmaster.master][INFO] 2025-09-12 14:58:04,679: +SUB [/rosout] /rosout http://Na:41133/
[rosmaster.master][INFO] 2025-09-12 14:58:05,270: +PUB [/rosout] /rosapi http://Na:44333/
[rosmaster.master][INFO] 2025-09-12 14:58:05,271: publisherUpdate[/rosout] -> http://Na:41133/ ['http://Na:44333/']
[rosmaster.master][INFO] 2025-09-12 14:58:05,276: +SERVICE [/rosapi/get_loggers] /rosapi http://Na:44333/
[rosmaster.master][INFO] 2025-09-12 14:58:05,277: +SERVICE [/rosapi/set_logger_level] /rosapi http://Na:44333/
