[rosmaster.main][INFO] 2025-09-18 13:34:39,053: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-18 13:34:39,053: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-18 13:34:39,055: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-18 13:34:39,055: Started XML-RPC server [http://Na:11311/]
[xmlrpc][INFO] 2025-09-18 13:34:39,056: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-18 13:34:39,056: Master initialized: port[11311], uri[http://Na:11311/]
[rosmaster.master][INFO] 2025-09-18 13:34:39,065: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:34:39,067: +PARAM [/roslaunch/uris/host_na__33983] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:34:39,107: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:34:39,108: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:34:39,115: +SERVICE [/rosout/get_loggers] /rosout http://Na:38397/
[rosmaster.master][INFO] 2025-09-18 13:34:39,116: +SERVICE [/rosout/set_logger_level] /rosout http://Na:38397/
[rosmaster.master][INFO] 2025-09-18 13:34:39,117: +PUB [/rosout_agg] /rosout http://Na:38397/
[rosmaster.master][INFO] 2025-09-18 13:34:39,120: +SUB [/rosout] /rosout http://Na:38397/
[rosmaster.master][INFO] 2025-09-18 13:35:28,598: +PARAM [/roslaunch/uris/host_na__43931] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,602: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,602: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,602: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,602: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,602: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,602: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,602: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:28,603: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-18 13:35:29,132: +PUB [/rosout] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,135: +SERVICE [/rosapi/get_loggers] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,136: +SERVICE [/rosapi/set_logger_level] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,140: +SERVICE [/rosapi/topics] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,141: +SERVICE [/rosapi/topics_for_type] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,142: +SERVICE [/rosapi/services] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,143: +SERVICE [/rosapi/services_for_type] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,144: +SERVICE [/rosapi/nodes] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,145: +SERVICE [/rosapi/node_details] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,146: +SERVICE [/rosapi/action_servers] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,147: +SERVICE [/rosapi/topic_type] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,148: +SERVICE [/rosapi/service_type] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,149: +SERVICE [/rosapi/publishers] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,149: +SERVICE [/rosapi/subscribers] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,150: +SERVICE [/rosapi/service_providers] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,151: +SERVICE [/rosapi/service_node] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,152: +SERVICE [/rosapi/service_host] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,153: +SERVICE [/rosapi/message_details] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,154: +SERVICE [/rosapi/service_request_details] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,155: +SERVICE [/rosapi/service_response_details] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,155: +SERVICE [/rosapi/set_param] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,156: +SERVICE [/rosapi/get_param] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,157: +SERVICE [/rosapi/has_param] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,158: +SERVICE [/rosapi/search_param] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,159: +SERVICE [/rosapi/delete_param] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,160: +SERVICE [/rosapi/get_param_names] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,161: +SERVICE [/rosapi/get_time] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,162: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://Na:40091/
[rosmaster.master][INFO] 2025-09-18 13:35:29,163: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-09-18 13:35:29,193: publisherUpdate[/rosout] -> http://Na:38397/ ['http://Na:40091/']
[rosmaster.master][INFO] 2025-09-18 13:35:29,197: publisherUpdate[/rosout] -> http://Na:38397/ ['http://Na:40091/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-18 13:35:29,357: +PUB [/rosout] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:35:29,361: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:35:29,362: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:35:29,376: +PUB [/client_count] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:35:29,377: +PUB [/connected_clients] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:35:29,381: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:35:29,383: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:35:29,394: publisherUpdate[/rosout] -> http://Na:38397/ ['http://Na:40091/', 'http://Na:36363/']
[rosmaster.master][INFO] 2025-09-18 13:35:29,398: publisherUpdate[/rosout] -> http://Na:38397/ ['http://Na:40091/', 'http://Na:36363/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-18 13:35:29,401: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-09-18 13:38:27,228: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:27,231: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:27,234: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:27,238: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:27,241: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:27,244: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:27,248: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:27,250: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:28,226: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:28,609: +PUB [/clock] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:38:28,680: +PUB [/tf] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:38:28,885: +PUB [/CollisionData] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:38:28,894: +PUB [/Object_topic] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:38:28,901: +PUB [/Competition_topic] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:38:28,914: +PUB [/Ego_topic] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:38:29,244: +SUB [/ctrl_cmd] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:38:29,246: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:29,298: +SERVICE [/Service_MoraiEventCmd] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:38:29,301: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:32,205: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:38:33,251: +PUB [/image_jpeg/compressed] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:39:18,528: -SUB [/ctrl_cmd] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:39:18,531: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:18,533: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:18,539: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:18,542: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:18,546: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:18,549: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:18,552: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:18,555: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:19,539: -SERVICE [/Service_MoraiEventCmd] /rosbridge_websocket rosrpc://Na:33159
[rosmaster.master][INFO] 2025-09-18 13:39:19,541: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:19,809: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:19,812: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:19,816: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-18 13:39:28,546: -PUB [/CollisionData] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:39:28,549: -PUB [/Ego_topic] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:39:28,553: -PUB [/tf] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:39:28,555: -PUB [/Competition_topic] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:39:28,558: -PUB [/Object_topic] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:39:29,816: -PUB [/image_jpeg/compressed] /rosbridge_websocket http://Na:36363/
[rosmaster.master][INFO] 2025-09-18 13:39:54,625: +PUB [/rosout] /rostopic_578_1758170394589 http://Na:42849/
[rosmaster.master][INFO] 2025-09-18 13:39:54,628: +SERVICE [/rostopic_578_1758170394589/get_loggers] /rostopic_578_1758170394589 http://Na:42849/
[rosmaster.master][INFO] 2025-09-18 13:39:54,630: +SERVICE [/rostopic_578_1758170394589/set_logger_level] /rostopic_578_1758170394589 http://Na:42849/
